strategy_name,period_freq,period_label,period_start_equity,period_end_equity,period_return,trade_count,win_rate,max_drawdown,profit_factor,schedule_name,cost_scenario_name,description
v8_a_flat_1_0__stress_cost_2_0x,Q,2023Q3,100249.45453130789,100168.20300597792,-0.0008104934406858444,1,0.0,-0.0008104934406858444,0.0,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2024Q2,100168.20300597792,100055.44870551353,-0.0011256496281326633,2,0.0,-0.0011256496281326633,0.0,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2024Q3,100055.44870551353,100923.85440708698,0.008679244487018067,5,0.4,-0.0016866954683346647,6.107352113634306,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2025Q1,100923.85440708698,102150.55117467036,0.012154676164421563,5,0.4,-0.002447683337269635,4.126668690140338,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2025Q2,102150.55117467036,101430.58759306619,-0.0070480636014688125,3,0.0,-0.0070480636014688125,0.0,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2025Q3,101430.58759306619,101118.69043404266,-0.0030749812894197426,1,0.0,-0.0030749812894197426,0.0,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2025Q4,101118.69043404266,101624.75748347683,0.005004683577901625,6,0.16666666666666666,-0.005602370224449427,1.6592745121136474,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2026Q1,101624.75748347683,102997.84410097469,0.013511339672531264,6,0.16666666666666666,-0.009033149584720457,2.462479290152203,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_a_flat_1_0__stress_cost_2_0x,Q,2026Q2,102997.84410097469,102898.97570323721,-0.0009599074485534542,1,0.0,-0.0009599074485534542,0.0,v8_a_flat_1_0,stress_cost_2_0x,Flat baseline under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2021Q2,100000.0,99975.23075733754,-0.00024769242662459057,1,0.0,-0.00024769242662459057,0.0,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2021Q4,99975.23075733754,100208.43502058943,0.0023326204049274324,1,1.0,0.0,999.0,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2022Q1,100208.43502058943,100410.040971045,0.0020118660710961578,6,0.3333333333333333,-0.00602161442341409,1.1948394900141583,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2022Q2,100410.040971045,100730.63265565531,0.003192824955651208,3,0.3333333333333333,-0.000771260826634923,5.139747340185241,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2022Q3,100730.63265565531,100570.7551528163,-0.0015871785833565522,7,0.42857142857142855,-0.0020150166324737206,0.6449334585434773,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,Q,2022Q4,100570.7551528163,100467.74333717828,-0.0010242720707575037,2,0.0,-0.0010242720707575037,0.0,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Moderate dynamic sizing under harsh cost assumptions
