split_label,sample_type,strategy_name,schedule_name,cost_scenario_name,total_return,annual_return,max_drawdown,profit_factor,trade_count,average_R,win_rate,sharpe,sortino,calmar
2023_test,train,v8_d_strong_1_5_weak_0_5__base_cost,v8_d_strong_1_5_weak_0_5,base_cost,0.00788344325583279,0.0025849166516531685,-0.007167897505903409,1.4377310545377382,21,0.06510582278405533,0.42857142857142855,0.11271562306913921,0.018559460997733306,0.3606241090255904
2023_test,train,v8_e_strong_1_25_weak_0_75__base_cost,v8_e_strong_1_25_weak_0_75,base_cost,0.007323756916319146,0.002401848546378371,-0.0074825068254252836,1.3930645686745682,21,0.06510582278405533,0.42857142857142855,0.11378779224757546,0.020277228761692113,0.32099516945537265
2023_test,train,v8_f_strong_1_5_weak_0_75__base_cost,v8_f_strong_1_5_weak_0_75,base_cost,0.008437654467690736,0.0027661266668479456,-0.00829738057945828,1.4066863788890913,21,0.06510582278405533,0.42857142857142855,0.11401609978135595,0.019990463626198045,0.3333734833974002
2023_test,train,v8_a_flat_1_0__stress_cost_1_5x,v8_a_flat_1_0,stress_cost_1_5x,0.005631845747854136,0.0018480249153005612,-0.00801263663467977,1.2847750905425828,21,0.05450538431193,0.42857142857142855,0.09132839182076892,0.015464915330462124,0.23063880212688798
2023_test,train,v8_b_strong_1_0_weak_0_5__stress_cost_1_5x,v8_b_strong_1_0_weak_0_5,stress_cost_1_5x,0.004740062945827184,0.001555860453411828,-0.0057026469379609646,1.3338056026580596,21,0.05450538431193,0.42857142857142855,0.09638940438578134,0.01684065104040972,0.27283127823588194
2023_test,train,v8_c_strong_1_25_weak_0_5__stress_cost_1_5x,v8_c_strong_1_25_weak_0_5,stress_cost_1_5x,0.005681925534905652,0.0018644268171650324,-0.006547962497292725,1.3469111721364715,21,0.05450538431193,0.42857142857142855,0.09610480914389545,0.016215581985454294,0.28473388751629003
2023_test,train,v8_d_strong_1_5_weak_0_5__stress_cost_1_5x,v8_d_strong_1_5_weak_0_5,stress_cost_1_5x,0.006617932288106587,0.002170882619392245,-0.007393152276007786,1.3565106924318224,21,0.05450538431193,0.42857142857142855,0.0955119094977988,0.015603638855208537,0.29363423589112053
2023_test,train,v8_e_strong_1_25_weak_0_75__stress_cost_1_5x,v8_e_strong_1_25_weak_0_75,stress_cost_1_5x,0.00613144206128835,0.00201162586507575,-0.007702259685896107,1.3198586092314006,21,0.05450538431193,0.42857142857142855,0.09607125495745886,0.017086150796275776,0.2611734668930097
2023_test,train,v8_f_strong_1_5_weak_0_75__stress_cost_1_5x,v8_f_strong_1_5_weak_0_75,stress_cost_1_5x,0.007067867187827703,0.002318126693357625,-0.008546467434126792,1.330942314338317,21,0.05450538431193,0.42857142857142855,0.09638940438578168,0.016840651040410194,0.27123799525651293
2023_test,train,v8_a_flat_1_0__stress_cost_2_0x,v8_a_flat_1_0,stress_cost_2_0x,0.004518457257433273,0.0014832313508434947,-0.00826217625441461,1.2215655196363664,21,0.043947770678986774,0.3333333333333333,0.07391219348330393,0.011644492929731165,0.17952066201092973
2023_test,train,v8_b_strong_1_0_weak_0_5__stress_cost_2_0x,v8_b_strong_1_0_weak_0_5,stress_cost_2_0x,0.0038333386346112164,0.0012586223591464218,-0.005904609031062158,1.2606907126486637,21,0.043947770678986774,0.3333333333333333,0.07861961151706634,0.013011650665494423,0.2131593053028971
