strategy_name,entry_time,entry_price,exit_time,exit_price,stop_loss_price,position_size_btc,notional_value,notional_to_equity,risk_amount,pnl_usdt,R_multiple,exit_reason,exit_rule_name,holding_bars,holding_days,entry_signal_bar_time,entry_bar_index,exit_bar_index,signal_bar_index,equity_before,equity_after,entry_fee,exit_fee,signal_time,is_strong_regime,risk_schedule_name,risk_multiplier,cost_scenario_name
v5_a_baseline,2024-07-02 16:00:00+00:00,61946.1083,2024-07-06 20:00:00+00:00,57873.87246,64565.0884448186,0.28734755453311606,17800.062732848564,0.11826379902603401,752.55753998441,1156.3750187238736,1.5365934925691251,close_above_ema21,ema21_reclaim,26,4.333333333333333,2024-07-02 12:00:00+00:00,9963,9988,9962,100341.00533125467,101497.38034997854,7.120025093139425,6.651966289096982,2024-07-02 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2024-07-10 16:00:00+00:00,57688.55998,2024-07-11 00:00:00+00:00,57736.24494,60578.03155525951,0.0878165589333256,5066.010827262359,0.09982544987454801,253.74345087494638,-8.242012773523076,-0.032481676847632326,close_above_ema21,ema21_reclaim,3,0.5,2024-07-10 12:00:00+00:00,10011,10013,10010,101497.38034997854,101489.13833720502,2.0264043309049438,2.028079342544973,2024-07-10 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2024-07-11 16:00:00+00:00,57394.21886,2024-07-12 16:00:00+00:00,58217.741219999996,60805.28620004083,0.07438224477854365,4269.110836117826,0.08412941337492484,253.72284584301255,-64.69523260772272,-0.2549838679002993,close_above_ema21,ema21_reclaim,7,1.1666666666666665,2024-07-11 12:00:00+00:00,10017,10023,10016,101489.13833720502,101424.44310459729,1.7076443344471306,1.73214651115198,2024-07-11 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2024-08-29 20:00:00+00:00,59256.1464,2024-09-03 00:00:00+00:00,59158.72938,62329.43735484898,0.08250475190493402,4888.913657574449,0.09640503823191016,253.56110776149322,4.129451087185066,0.016285822079107434,close_above_ema21,ema21_reclaim,26,4.333333333333333,2024-08-29 16:00:00+00:00,10312,10337,10311,101424.44310459729,101428.57255568447,1.9555654630297796,1.9523505162032124,2024-08-29 16:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2024-09-05 04:00:00+00:00,57111.0755,2024-09-09 04:00:00+00:00,55130.92398,60374.55568226291,0.23309910024952307,13312.540313332582,0.08750026399792474,760.7142941676335,451.1061340341272,0.5930033620936798,close_above_ema21,ema21_reclaim,25,4.166666666666666,2024-09-05 00:00:00+00:00,10350,10374,10349,101428.57255568447,101879.6786897186,5.325016125333033,5.140387510265142,2024-09-05 00:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2025-02-24 16:00:00+00:00,94310.1342,2025-03-01 20:00:00+00:00,85497.89616,97594.4288629239,0.23265195988615653,21941.43755875644,0.14357745555637622,764.0975901728895,2033.4513747227325,2.6612456325933853,close_above_ema21,ema21_reclaim,32,5.333333333333333,2025-02-24 12:00:00+00:00,11385,11416,11384,101879.6786897186,103913.13006444133,8.776575023502575,7.95650124310684,2025-02-24 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2025-03-03 20:00:00+00:00,85569.68264,2025-03-04 20:00:00+00:00,88217.74002,97594.92228922689,0.06480939242931553,5545.719142267748,0.03557920055485187,779.34847548331,-176.12421282554553,-0.2259890387497361,close_above_ema21,ema21_reclaim,7,1.1666666666666665,2025-03-03 16:00:00+00:00,11428,11434,11427,103913.13006444133,103737.00585161579,2.2182876569070995,2.2869352528734055,2025-03-03 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2025-03-07 04:00:00+00:00,86972.00211999999,2025-03-07 12:00:00+00:00,88997.59596,95570.97530142228,0.09047912203843285,7869.150393742319,0.05057115558163342,778.0275438871186,-189.642582145553,-0.243747902803127,close_above_ema21,ema21_reclaim,3,0.5,2025-03-07 00:00:00+00:00,11448,11450,11447,103737.00585161579,103547.36326947024,3.1476601574969276,3.2209697383967915,2025-03-07 00:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2025-03-07 20:00:00+00:00,87814.4336,2025-03-11 20:00:00+00:00,83124.22152,95472.26144533324,0.10141325193074156,8905.547277832178,0.05733638531291556,776.6052245210269,468.71548131909253,0.6035440742858431,close_above_ema21,ema21_reclaim,25,4.166666666666666,2025-03-07 16:00:00+00:00,11452,11476,11451,103547.36326947024,104016.07875078933,3.562218911132872,3.371959047421812,2025-03-07 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,base_cost
v5_a_baseline,2025-03-12 16:00:00+00:00,81713.25408000001,2025-03-12 20:00:00+00:00,82935.68382,86690.29283626565,0.05224797507345232,4269.3520623425175,0.08209023284893097,260.0401968769733,-67.31050802587423,-0.2588465507804521,close_above_ema21,ema21_reclaim,2,0.3333333333333333,2025-03-12 12:00:00+00:00,11481,11482,11480,104016.07875078933,103948.76824276346,1.7077408249370072,1.7332886163708334,2025-03-12 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
v5_a_baseline,2025-04-03 00:00:00+00:00,82496.9973,2025-04-04 08:00:00+00:00,84018.20027999999,90105.05141292991,0.03415747532148275,2817.889149371179,0.05421688389400132,259.87192060690865,-54.23554874911184,-0.2087010732919869,close_above_ema21,ema21_reclaim,9,1.5,2025-04-02 20:00:00+00:00,11609,11617,11608,103948.76824276346,103894.53269401434,1.1271556597484715,1.147939841047798,2025-04-02 20:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,base_cost
