symbol,combo,horizon_h,active_pct,flips,active_segments,median_active_run_h,whipsaw_active_le_6h_pct,bar_samples,bar_dir_mean_pct,bar_dir_win_pct,entry_signals,entry_dir_mean_pct,entry_dir_median_pct,entry_dir_win_pct
DOGE-USDT-SWAP,trend_50/60/70_trigger_20/30/40,24,72.29570191772407,1751,877,33.0,12.542759407069557,37659,0.40278373875886453,47.8079609123981,875,0.5656418541188342,-0.19379844961240345,47.77142857142857
DOGE-USDT-SWAP,trend_50/60/70_trigger_20/30/40,48,72.29570191772407,1751,877,33.0,12.542759407069557,37636,0.5189844510675969,48.86013391433734,875,0.6265027843264904,0.08743442418186476,50.28571428571429
DOGE-USDT-SWAP,trend_50/60/70_trigger_20/30/40,72,72.29570191772407,1751,877,33.0,12.542759407069557,37612,0.8112735673264527,48.715835371689884,875,0.5125970939915271,-0.08159268929504027,49.142857142857146
DOGE-USDT-SWAP,trend_40/50/60_trigger_20/30/40,6,76.6974449542165,1882,943,32.0,12.83138918345705,39952,0.12147654853972333,47.72977573087705,941,0.10594284973063381,-0.04098107572516607,48.67162592986185
DOGE-USDT-SWAP,trend_40/50/60_trigger_20/30/40,12,76.6974449542165,1882,943,32.0,12.83138918345705,39952,0.2268909228232835,47.47196635963156,941,0.28500800126485015,-0.06251953735542104,48.88416578108396
DOGE-USDT-SWAP,trend_40/50/60_trigger_20/30/40,24,76.6974449542165,1882,943,32.0,12.83138918345705,39952,0.3582835891826049,47.6646976371646,941,0.5646921050965925,-0.2737117696060887,46.86503719447396
DOGE-USDT-SWAP,trend_40/50/60_trigger_20/30/40,48,76.6974449542165,1882,943,32.0,12.83138918345705,39929,0.4758257411460254,48.739011745848885,941,0.5893209391166614,0.01700680272108679,50.05313496280552
DOGE-USDT-SWAP,trend_40/50/60_trigger_20/30/40,72,76.6974449542165,1882,943,32.0,12.83138918345705,39905,0.7721687201896006,48.76581881969678,941,0.5179677147301736,0.021063717746183652,50.265674814027626
DOGE-USDT-SWAP,trend_50/60/70_trigger_50/55/60,6,93.6133453631006,1035,531,72.0,7.1563088512241055,48760,0.1014399978056298,48.519278096800655,530,-0.007162326656331303,-0.031129038853494606,48.301886792452834
DOGE-USDT-SWAP,trend_50/60/70_trigger_50/55/60,12,93.6133453631006,1035,531,72.0,7.1563088512241055,48754,0.19511780163733314,48.37551790622308,530,0.05859585360173162,-0.09875249349544646,47.735849056603776
