trade_id,symbol,timeframe,direction,cross_time,entry_time,exit_time,entry_price,exit_price,ema15_at_entry,ma50_at_entry,atr_at_entry,stop_price,qty,gross_pnl,fee,slippage,net_pnl,r_multiple,exit_reason,bars_after_cross,pullback_index,pullback_depth_pct,ema15_slope_5,ema15_slope_10,ma50_slope_10,daily_filter_pass,max_r_before_exit,max_drawdown_r,holding_bars
T0045,ETH-USDT-SWAP,4H,long,2022-12-10 00:00,2022-12-10 20:00,2022-12-11 08:00,1266.09,1266.79,1265.372261771725076102320378,1264.5492,16.77283160731077533647223444,1245.96,4.96,3.472,3.203951184,0,0.268048816,0.002684654744162940884252359662,EMA15收破离场,4,1,0.4925239757507332520572661618,0.00006689107049475526838030734522,0.01276252682652060274280711569,-0.0008553245694196793608346753135,true,0.9165424739195230998509687034,0.2031793343268753104818678589,3
T0046,ETH-USDT-SWAP,4H,long,2022-12-13 08:00,2022-12-13 16:00,2022-12-15 12:00,1265.92,1292.67,1263.330070689753915338616176,1262.237,15.14081694398334234559613427,1247.75,5.5,147.125,3.6038706,0,143.5211294,1.436144788112272977435332966,EMA15收破离场,1,1,0.7084506968845718141270183035,0.0005434322355671598733370577385,-0.00535922414771435849300196024,-0.0006334784988872929568694310181,true,4.859108420473307649972482113,0.1221794166208035222894881673,11
T0047,ETH-USDT-SWAP,4H,long,2022-12-23 12:00,2022-12-24 00:00,2022-12-25 20:00,1219.27,1217.71,1213.092138275500156417926835,1207.334,16.73429511686829421237982027,1199.18,4.97,-7.7532,3.087692517,0,-10.840892517,-0.1085747187655550024888003982,EMA15收破离场,2,1,0.2548972314581033206362100209,0.006345543049200423457972146168,0.004984342445663415967819672667,-0.01671716360178707797510879342,true,0.4345445495271279243404678945,1.456943753111000497760079642,11
T0048,ETH-USDT-SWAP,4H,long,2023-01-02 20:00,2023-01-04 00:00,2023-01-06 20:00,1211.87,1243.79,1210.275883863699897744391132,1204.3028,9.194604436786930019025555557,1200.83,9.05,288.876,5.697381345,0,283.178618655,2.834280353260869565217391304,EMA15收破离场,6,1,0.4359240677304995936335299734,0.003283172758172148682926934427,0.01008732397218734065489760693,-0.0006863722313026258844536440503,true,5.627717391304347826086956522,0.6068840579710144927536231884,17
T0049,ETH-USDT-SWAP,4H,long,2023-02-02 04:00,2023-02-03 08:00,2023-02-06 00:00,1643.77,1645.06,1634.478978740929285929813371,1602.9786,34.46566419296943162105362987,1602.41,2.41,3.1089,2.021476911,0,1.087423089,0.01090940280464216634429400387,EMA15收破离场,6,1,0.5236518090628753452322015099,0.01803713896012292244901658538,0.02917731273199558401768205966,0.00662841038551606365799268936,true,1.238636363636363636363636364,0.8648452611218568665377176015,16
T0050,ETH-USDT-SWAP,4H,long,2023-02-16 04:00,2023-02-17 12:00,2023-02-20 04:00,1663.59,1685.06,1637.122246341740440678540123,1566.7828,37.1494028737028370863523402,1619.01,2.24,48.0928,1.917798624,0,46.175001376,0.4624010744728577837595334231,EMA15收破离场,7,1,0.3739639086464685893195655734,0.02526386103251825618623452964,0.06162394126191859794870682394,0.001454700677081724410045859579,true,1.444818304172274562584118439,0.4013010318528488111260655002,16
T0051,ETH-USDT-SWAP,4H,long,2023-03-01 16:00,2023-03-02 08:00,2023-03-02 20:00,1665.14,1634.28,1639.877413261206941178875017,1631.6968,25.70911169286469871991593096,1634.28,3.24,-99.9864,2.715482232,0,-102.701882232,-1.027158515878159429682436811,止损,3,1,0.5023188437497461581386640178,0.007717576212378520944979108407,0.008136160249230446589324573275,-0.006827616503262125659620096086,true,0.4151004536616979909267660402,1.503888528839922229423201555,3
T0052,ETH-USDT-SWAP,4H,long,2023-03-29 16:00,2023-03-30 12:00,2023-03-31 04:00,1787.27,1781.76,1779.207849778848334449897941,1766.9292,34.23574713906133295462934286,1746.18,2.43,-13.3893,2.210143563,0,-15.599443563,-0.1562308128498418106595278657,EMA15收破离场,4,1,0.7979871368380651138590071994,0.01120448350044861118477229013,0.02231422114653003192586961975,0.002641192414500818708525502889,true,0.6322706254563154052080798248,0.6013628620102214650766609881,4
T0053,ETH-USDT-SWAP,4H,long,2023-04-28 04:00,2023-04-29 04:00,2023-04-30 12:00,1892.82,1896.33,1892.206678640328816866941822,1876.223,39.30734462040203269714968357,1845.65,2.11,7.4061,2.039529798,0,5.366570202,0.05391982616069535721857112572,EMA15收破离场,5,1,0.4876147380982067955479828094,0.003874349146054041363468772365,0.01230511990807940251943821502,-0.01050152353957925044091240753,true,0.5338138647445410218359126563,0.2062751748993004027983888064,8
T0054,ETH-USDT-SWAP,4H,long,2023-05-05 12:00,2023-05-06 00:00,2023-05-06 16:00,1953.21,1920.02,1894.457095266212850056521566,1883.1122,27.65188916128490535123846212,1920.02,3.01,-99.9019,2.962407987,0,-102.864307987,-1.029653169629406447725218439,止损,2,1,0.3635392579447708123932182329,0.008455519952883102204190902733,0.0153630567860592038519435385,0.002434055708417161760196763634,true,2.313648689364266345284724315,1.271768605001506477854775535,4
T0055,ETH-USDT-SWAP,4H,long,2023-05-17 04:00,2023-05-17 12:00,2023-05-17 16:00,1823.98,1798.17,1818.09421692899225794522882,1816.9762,21.50155918741561468125206059,1798.17,3.87,-99.8847,3.564030834,0,-103.448730834,-1.035681449050755521115846571,止损,1,1,0.0315834528070931453785087909,0.001443696141126950744440128236,0.004443623768116554454512706721,-0.006284837412840080128732561274,true,0.1154591243703990701278574196,1.394033320418442464161177838,1
T0056,ETH-USDT-SWAP,4H,long,2023-05-18 04:00,2023-05-18 16:00,2023-05-19 00:00,1827.09,1808.47,1817.543114596535239737027921,1812.482,21.06438960228525259811109691,1801.81,3.95,-73.549,3.654195165,0,-77.203195165,-0.773145280854430379746835443,EMA15收破离场,2,1,0.1300169760792613944603607788,0.002193145228997992194397908917,0.0007637087515824380047340615895,-0.003490903633801604650418597261,true,0.1028481012658227848101265823,2.237737341772151898734177215,2
T0057,ETH-USDT-SWAP,4H,long,2023-05-27 04:00,2023-05-28 00:00,2023-05-31 16:00,1823.66,1869.48,1820.615248493475493552141087,1817.2764,17.00622719316983629403461654,1803.25,4.89,224.0598,4.628687202,0,219.431112798,2.198600597746202841744243018,EMA15收破离场,4,1,0.4732053354273753279927369838,0.003800722994477486719870900827,0.008253116921403639332428249486,0.001125530491674243939997239825,true,5.455169034786869181773640372,0.3253307202351788339049485546,22
T0058,ETH-USDT-SWAP,4H,long,2023-06-19 00:00,2023-06-19 16:00,2023-06-20 00:00,1724.61,1721.77,1723.687402794240157382748647,1720.4198,19.59631001773220826863622776,1701.09,4.25,-12.07,3.733746975,0,-15.803746975,-0.1581007100340136054421768707,EMA15收破离场,3,1,0.2133451105043050515554476126,0.002740430622893237545946371141,0.008984268219505919234407141498,-0.006994571906228933194095999128,true,1.193027210884353741496598639,1.193452380952380952380952381,2
T0059,ETH-USDT-SWAP,4H,long,2023-07-01 04:00,2023-07-03 00:00,2023-07-05 04:00,1918.36,1934.7,1909.26995291083693610377454,1885.1672,25.53848665497929037380162065,1887.71,3.26,53.2684,3.20864196,0,50.05975804,0.5010033931484502446982055465,EMA15收破离场,10,1,1.271164031772218692725084699,0.004562196544634309911321402848,0.01517067446794893213816055525,0.003275995890444094295720825187,true,1.945840130505709624796084829,0.5318107667210440456769983687,13
T0060,ETH-USDT-SWAP,4H,long,2023-07-13 20:00,2023-07-15 16:00,2023-07-16 00:00,1941.42,1935.01,1940.563323177426375691529704,1891.71,28.9962085216090692742512584,1906.62,2.87,-18.3967,2.835033642,0,-21.231733642,-0.2125809367816091954022988506,EMA15收破离场,10,1,0.709243703260900509867747333,0.0005819433071938603038524339157,0.02943602680016718820532037258,0.007482647974583842132250714962,true,0.1563218390804597701149425287,0.3859195402298850574712643678,2
T0061,ETH-USDT-SWAP,4H,long,2023-07-30 00:00,2023-07-30 20:00,2023-07-31 00:00,1876.03,1864.32,1873.401700824721654282891996,1868.6968,9.758119634865825340748583657,1864.32,8.53,-99.8863,8.125334241,0,-108.011634241,-1.081345832621690862510674637,止损,4,1,0.0390573374839758052464294589,0.001980852549994083883940704291,0.003443674551007569760037888689,-0.001743461004481839964621333969,true,0.7907771135781383432963279249,1.559350982066609735269000854,1
T0062,ETH-USDT-SWAP,4H,long,2023-08-09 04:00,2023-08-10 04:00,2023-08-11 12:00,1848.63,1847.2,1847.311358907480806422994561,1840.7096,13.53645334070478126051766586,1832.38,6.15,-8.7945,5.795061975,0,-14.589561975,-0.1459868615384615384615384615,EMA15收破离场,5,1,0.06286752375991701726980332574,0.004384412326967279298226860293,0.00858790789376521411241210362,-0.0001977498243068868658043615354,true,1.080615384615384615384615385,0.3464615384615384615384615385,8
T0063,ETH-USDT-SWAP,4H,long,2023-09-09 04:00,2023-09-09 20:00,2023-09-10 04:00,1635.15,1634.2,1635.047675814206152266772606,1634.0276,12.31680303781006451661052331,1620.36,6.76,-6.422,5.63503122,0,-12.05703122,-0.1205939486139283299526707235,EMA15收破离场,3,1,0.100160737722258611088033889,-0.00008113514148400989624537284499,0.001285432409537280132064186379,-0.006180556558530590303370640741,true,0.1737660581473968897903989182,0.3475321162947937795807978364,2
T0064,ETH-USDT-SWAP,4H,long,2023-09-15 08:00,2023-09-15 20:00,2023-09-17 12:00,1620.88,1628.99,1618.859338075188189253363203,1616.3276,19.42914071054430766801999235,1597.56,4.28,34.7108,3.550552752,0,31.160247248,0.3121968953687821612349914237,EMA15收破离场,2,1,0.1099130748014098061599054342,0.005549003887927996231751052606,0.01336623829148615228993907632,-0.0009062519256616047390392888174,true,1.45025728987993138936535163,0.4236706689536878216123499142,10
T0065,ETH-USDT-SWAP,4H,long,2023-10-17 04:00,2023-10-18 20:00,2023-10-19 04:00,1578.82,1563.01,1573.633637461612736606647888,1562.7542,18.11653188087041533233387784,1557.08,4.59,-72.5679,3.669735294,0,-76.237635294,-0.7640067433302667893284268629,EMA15收破离场,9,1,0.3363957998604913367826066457,-0.001820232052298237787025224498,0.00424276900567305469968905783,-0.00371600345083059127276701608,true,0.1462741490340386384544618215,1.070377184912603495860165593,2
T0066,ETH-USDT-SWAP,4H,long,2023-11-21 12:00,2023-11-21 20:00,2023-11-21 20:00,2004.22,1967.27,2003.718665767279251037246071,2002.6338,30.79166082260383257014439703,1967.27,2.7,-99.765,2.72389554,0,-102.48889554,-1.027303117726657645466847091,止损,1,1,0.07679050924497194285723555278,0.005325675403795176327834777676,0.01908981803610979040283020039,-0.003634313971930364902459950491,true,0.3025710419485791610284167794,1.439242219215155615696887686,0
