strategy_name,entry_time,entry_price,exit_time,exit_price,stop_loss_price,position_size_btc,notional_value,notional_to_equity,risk_amount,pnl_usdt,R_multiple,exit_reason,holding_bars,holding_days,entry_signal_bar_time,entry_bar_index,exit_bar_index,signal_bar_index,equity_before,equity_after,entry_fee,exit_fee
strategy_c_dual_bear_pullback,2026-03-22 16:00:00+00:00,68796.238,2026-03-25 16:00:00+00:00,70813.1598,78899.5284160068,0.05056452897157956,3478.649369486682,0.03404645178317603,510.8681209484579,-104.80841416541536,-0.20515747580967106,close_above_ema21,4,4,2026-03-21 16:00:00+00:00,2307,2310,2306,102173.62418969157,102068.81577552616,1.3914597477946729,1.4322536281104772
strategy_c_dual_bear_pullback,2026-04-12 16:00:00+00:00,70855.3261,2026-04-13 16:00:00+00:00,71845.3662,76343.42575196052,0.09299103719724201,6588.910264987813,0.06455360743557963,510.3440788776308,-97.37280992015765,-0.19079835340561577,close_above_ema21,2,2,2026-04-11 16:00:00+00:00,2328,2329,2327,102068.81577552616,101971.44296560601,2.6355641059951256,2.67239004830147
strategy_d_first_pullback,2020-09-21 16:00:00+00:00,10416.4163,2020-09-26 16:00:00+00:00,10724.84454,11603.493432693467,0.4212026213204064,4387.421850324609,0.04387421850324609,500.0,-133.4726849707697,-0.2669453699415394,close_above_ema21,6,6,2020-09-20 16:00:00+00:00,299,304,298,100000.0,99866.52731502923,1.7549687401298437,1.8069330534007393
strategy_d_first_pullback,2022-11-09 16:00:00+00:00,17114.676379999997,2022-12-04 16:00:00+00:00,17035.30638,22412.68634501548,0.09424909350348623,1613.042734420527,0.01615198583337317,499.3326365751462,6.19310858405539,0.012402771480216214,close_above_ema21,26,26,2022-11-08 16:00:00+00:00,1078,1103,1077,99866.52731502923,99872.7204236133,0.6452170937682108,0.6422248735476623
strategy_d_first_pullback,2025-09-04 16:00:00+00:00,109438.70788,2025-09-08 16:00:00+00:00,112622.41997999999,116472.80443180063,0.07099186063777253,7769.257498194859,0.07779158778534627,499.36360211806647,-232.32345877083088,-0.46523907186151253,close_above_ema21,5,5,2025-09-03 16:00:00+00:00,2108,2112,2107,99872.7204236133,99640.39696484247,3.1077029992779437,3.1981100575635395
strategy_e_second_pullback,2022-05-05 16:00:00+00:00,36892.62,2022-05-31 16:00:00+00:00,32059.11054,42569.603795181785,0.08807493874200666,3249.31524653213,0.0324931524653213,500.0,423.28188182102343,0.8465637636420469,close_above_ema21,27,27,2022-05-04 16:00:00+00:00,890,916,889,100000.0,100423.28188182102,1.299726098612852,1.1294416787734882
strategy_f_dual_bear_rsi,2020-04-10 16:00:00+00:00,6763.84696,2020-04-11 16:00:00+00:00,6831.56604,7974.020431313361,0.41316390736723607,2794.5774388276013,0.02794577438827601,500.0,-30.22593327905491,-0.06045186655810982,close_above_ema21,2,2,2020-04-09 16:00:00+00:00,135,136,134,100000.0,99969.77406672094,1.1178309755310405,1.1290226074094862
strategy_f_dual_bear_rsi,2020-04-15 16:00:00+00:00,6701.75938,2020-04-16 16:00:00+00:00,7046.20896,7912.81020594773,0.41273979557582907,2766.082796499595,0.027669191236277882,499.84887033360474,-144.4377826922738,-0.2889629071200549,close_above_ema21,2,2,2020-04-14 16:00:00+00:00,140,141,139,99969.77406672094,99825.33628402867,1.1064331185998382,1.1633003382939902
strategy_f_dual_bear_rsi,2020-04-21 16:00:00+00:00,6825.73458,2020-04-22 16:00:00+00:00,7114.9227,7711.479433667673,0.5635106761878101,3846.3743086543186,0.038531042837766136,499.12668142014337,-166.1028767308236,-0.3327870116224168,close_above_ema21,2,2,2020-04-20 16:00:00+00:00,146,147,145,99825.33628402867,99659.23340729784,1.5385497234617276,1.6037339606804002
strategy_f_dual_bear_rsi,2021-06-16 16:00:00+00:00,38779.84248,2021-06-17 16:00:00+00:00,39027.804,44711.86831317715,0.08400101096147884,3257.5459732469026,0.03268684558242206,498.29616703648924,-23.443386745486052,-0.04704709427108505,close_above_ema21,2,2,2021-06-15 16:00:00+00:00,567,568,566,99659.23340729784,99635.79002055236,1.303018389298761,1.311349996642579
strategy_f_dual_bear_rsi,2021-12-26 16:00:00+00:00,50038.29034000001,2021-12-27 16:00:00+00:00,51449.88792,54421.91254195979,0.11364550299978887,5686.626674938777,0.05707413645002231,498.1789501027618,-165.03518703914003,-0.3312769176720482,close_above_ema21,2,2,2021-12-25 16:00:00+00:00,760,761,759,99635.79002055236,99470.75483351322,2.274650669975511,2.3388193567804647
strategy_f_dual_bear_rsi,2021-12-28 16:00:00+00:00,48932.611520000006,2022-02-04 16:00:00+00:00,39501.29868,54716.447038730636,0.08599030393532346,4207.730136953911,0.042301178311117654,497.3537741675661,807.9596740942043,1.6245170260274135,close_above_ema21,39,39,2021-12-27 16:00:00+00:00,762,800,761,99470.75483351322,100278.71450760742,1.6830920547815644,1.3586914717332765
