mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
fixed,BNB-USDT-SWAP,4H,4小时,做多,21,0,1,3,3,201,29.85,2746.6101,27.47,0.1367,1121.6811,8.66,1.1940,2.8060,12746.61,703.2899,206.4847,496.8052,60,141,本次命中本地缓存 7260 根 | 补拉最新 3 根 | 本次回测取数 7263 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1 | TP x3 | 每波开仓不限(0)
fixed,BNB-USDT-SWAP,4H,4小时,做空,55,0,2,2,4,88,32.95,-239.2062,-2.39,-0.0431,1804.6028,16.94,0.9573,1.9476,9760.79,159.6062,46.9346,112.6716,29,59,本次命中本地缓存 7260 根 | 补拉最新 3 根 | 本次回测取数 7263 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | TP x4 | 每波开仓不限(0)
fixed,SOL-USDT-SWAP,4H,4小时,做多,21,0,1,3,3,274,28.10,2526.2494,25.26,0.0922,2368.1499,16.85,1.1241,2.8760,12526.25,531.9095,156.1202,375.7893,77,197,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1 | TP x3 | 每波开仓不限(0)
fixed,SOL-USDT-SWAP,4H,4小时,做空,55,0,1.5,3,4.5,121,32.23,3229.7126,32.30,0.2671,1024.1986,7.50,1.3843,2.9105,13229.71,161.7356,47.9284,113.8072,39,82,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1.5 | TP x4.5 | 每波开仓不限(0)
fixed,DOGE-USDT-SWAP,4H,4小时,做多,21,0,1.5,3,4.5,144,26.39,493.6623,4.94,0.0343,2373.9693,18.45,1.0456,2.9168,10493.66,192.2237,56.4638,135.7600,38,106,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓不限(0)
fixed,DOGE-USDT-SWAP,4H,4小时,做空,55,0,1,2,2,229,39.74,3419.0277,34.19,0.1493,777.0577,5.53,1.2370,1.8759,13419.03,597.8492,176.2633,421.5859,91,138,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1 | TP x2 | 每波开仓不限(0)
fixed,BTC-USDT-SWAP,5m,5分钟,做多,21,1,2,3,6,97,34.02,766.4532,7.66,0.0788,1575.9487,12.77,1.0949,2.1235,10766.45,1704.6358,501.1018,1203.5340,33,64,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
fixed,BTC-USDT-SWAP,5m,5分钟,做空,21,1,2,3,6,98,26.53,-2013.8840,-20.14,-0.2047,3081.3771,27.84,0.7760,2.1489,7986.12,1622.8960,477.2810,1145.6151,26,72,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
fixed,ETH-USDT-SWAP,5m,5分钟,做多,21,1,2,2,4,100,35.00,-1484.8420,-14.85,-0.1484,2217.7290,21.58,0.8105,1.5053,8515.16,1246.3960,366.6123,879.7837,35,65,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x4 | 每波开仓1
fixed,ETH-USDT-SWAP,5m,5分钟,做空,55,1,2,3,6,88,22.73,-2628.3240,-26.28,-0.2988,2906.8831,28.28,0.6791,2.3088,7371.68,1149.5872,337.9573,811.6299,20,68,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | TP x6 | 每波开仓1
fixed,BNB-USDT-SWAP,5m,5分钟,做多,21,1,2,2,4,133,39.85,-2319.7347,-23.20,-0.1742,3181.3659,30.02,0.7899,1.1923,7680.27,3097.2347,910.8690,2186.3656,53,80,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x4 | 每波开仓1
fixed,BNB-USDT-SWAP,5m,5分钟,做空,21,1,2,3,6,111,22.52,-5017.7255,-50.18,-0.4548,5678.9505,55.24,0.5724,1.9689,4982.27,2464.7255,724.6490,1740.0766,25,86,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
fixed,SOL-USDT-SWAP,5m,5分钟,做多,55,1,2,3,6,93,25.81,-1648.8603,-16.49,-0.1773,3629.5341,33.48,0.8042,2.3121,8351.14,1195.6140,351.6992,843.9148,24,69,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | TP x6 | 每波开仓1
fixed,SOL-USDT-SWAP,5m,5分钟,做空,21,1,2,3,6,101,26.73,-1501.0793,-15.01,-0.1486,2384.4522,21.91,0.8344,2.2868,8498.92,1349.7697,396.9751,952.7946,27,74,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
fixed,DOGE-USDT-SWAP,5m,5分钟,做多,21,1,2,2,4,122,38.52,-568.4780,-5.68,-0.0466,1512.3291,13.82,0.9376,1.4961,9431.52,1537.6606,452.1505,1085.5101,47,75,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x4 | 每波开仓1
fixed,DOGE-USDT-SWAP,5m,5分钟,做空,21,1,2,3,6,111,27.03,-1446.2363,-14.46,-0.1303,2170.1926,20.24,0.8531,2.3034,8553.76,1483.2858,436.2644,1047.0213,30,81,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
fixed,BTC-USDT-SWAP,15m,15分钟,做多,21,1,2,2,4,105,33.33,-1547.0985,-15.47,-0.1519,2122.6354,20.21,0.8030,1.6060,8452.90,981.9485,288.8682,693.0803,35,70,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x4 | 每波开仓1
fixed,BTC-USDT-SWAP,15m,15分钟,做空,21,1,2,3,6,89,31.46,1101.0449,11.01,0.1222,954.8830,7.96,1.1656,2.5394,11101.04,746.6711,219.8048,526.8663,28,61,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
fixed,ETH-USDT-SWAP,15m,15分钟,做多,21,1,2,3,6,91,29.67,684.9800,6.85,0.0755,1570.5058,14.13,1.0974,2.6013,10684.98,636.8700,187.1747,449.6952,27,64,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x6 | 每波开仓1
