mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
dynamic,SOL-USDT-SWAP,4H,4小时,做多,21,0,2,-,-,112,27.68,2476.6141,24.77,0.2211,821.7426,6.32,1.3388,3.4981,12476.61,104.8071,30.5523,74.2548,0,112,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,SOL-USDT-SWAP,4H,4小时,做空,21,0,1,-,-,280,27.50,5446.1441,54.46,0.1945,1398.7329,8.73,1.2969,3.4192,15446.14,554.8196,163.8176,391.0020,0,280,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,DOGE-USDT-SWAP,4H,4小时,做多,21,0,1,-,-,242,24.38,1237.9696,12.38,0.0512,2338.8093,17.23,1.0740,3.3312,11237.97,485.8611,142.7178,343.1433,0,242,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,DOGE-USDT-SWAP,4H,4小时,做空,21,0,1,-,-,265,26.04,8428.0875,84.28,0.3180,1540.7511,7.83,1.4940,4.2438,18428.09,607.0920,179.5131,427.5788,0,265,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,5m,5分钟,做多,21,1,1,-,-,161,28.57,2304.6676,23.05,0.1431,3064.6117,19.94,1.1400,2.8500,12304.67,6223.1914,1829.4475,4393.7439,0,161,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1
dynamic,BTC-USDT-SWAP,5m,5分钟,做空,21,1,2,-,-,104,20.19,-2160.1743,-21.60,-0.2087,3940.5524,34.06,0.7547,2.9827,7839.83,1731.0723,509.0935,1221.9788,0,104,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,ETH-USDT-SWAP,5m,5分钟,做多,21,1,2,-,-,81,20.99,-1566.6099,-15.67,-0.1934,2922.8646,27.64,0.7636,2.8746,8433.39,1001.0631,294.4902,706.5729,0,81,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,ETH-USDT-SWAP,5m,5分钟,做空,55,1,2,-,-,91,19.78,-1956.4068,-19.56,-0.2151,2585.0013,24.32,0.7464,3.0269,8043.59,1185.9564,348.7291,837.2273,0,91,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,BNB-USDT-SWAP,5m,5分钟,做多,21,1,2,-,-,121,19.01,-4429.3818,-44.29,-0.3673,5074.1990,48.21,0.5835,2.4861,5570.62,2857.8818,840.7199,2017.1619,0,121,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,BNB-USDT-SWAP,5m,5分钟,做空,55,1,2,-,-,106,18.87,-4160.6419,-41.61,-0.3961,5675.8744,50.89,0.6143,2.6417,5839.36,2396.9419,704.7962,1692.1458,0,106,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1
