时间,总权益,历史峰值,当前回撤,累计收益率
2019-12-30 18:00:00,9727.65779298,10000.0,-0.02723422070199999,-0.02723422070199999
2019-12-30 19:00:00,9727.65779298,10000.0,-0.02723422070199999,-0.02723422070199999
2019-12-30 20:00:00,9727.65779298,10000.0,-0.02723422070199999,-0.02723422070199999
2019-12-30 21:00:00,9727.65779298,10000.0,-0.02723422070199999,-0.02723422070199999
2019-12-30 22:00:00,9727.65779298,10000.0,-0.02723422070199999,-0.02723422070199999
2019-12-30 23:00:00,9727.65779298,10000.0,-0.02723422070199999,-0.02723422070199999
2019-12-31 00:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 01:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 02:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 03:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 04:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 05:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 06:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 07:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 08:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 09:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 10:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 11:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 12:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 13:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 14:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 15:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 16:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 17:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 18:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 19:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 20:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 21:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 22:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2019-12-31 23:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
2020-01-01 00:00:00,9622.42248994,10000.0,-0.037757751005999984,-0.037757751005999984
